Start Year,End Year,Data Year,State Accountability Calculation,Campus Number,Campus Name,Street Address,City,Zip Code,Type of School,District Number,District Name,County Number,County Name,Region Number,Region Name,Travis County all students graduation rate,Campus all students graduation rate,Campus African American graduation rate,Campus Asian graduation rate,Campus Hispanic graduation rate,Campus Multiracial graduation rate,Campus American Indian graduation rate,Campus Pacific Islander graduation rate,Campus White graduation rate,Campus economically disadvantaged graduation rate,Campus female graduation rate,Campus male graduation rate,Geocode Address
01/2017,12/2017,2017,No,227901009,Anderson H S,8403 Mesa Dr,Austin,78759,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,0.958,0.92,1,0.957,1,,,0.953,0.94,0.973,0.94,POINT (-97.754173 30.376358)
01/2018,12/2018,2018,No,227901025,Graduation Prep Academy Travis,1211 E Oltorf St,Austin,78704,Public,227901,Austin ISD,227,Travis County,13,Austin,0.895,0.29,0.2,,0.291,,,,0.5,0.264,0.316,0.25,POINT (-97.743904 30.234768)
01/2017,12/2017,2017,No,227901017,Akins H S,10701 S 1st St,Austin,78748,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,0.931,0.889,1,0.942,1,0,,0.854,0.927,0.938,0.925,POINT (-97.802163 30.150678)
01/2016,12/2016,2016,No,227901019,Eastside Memorial At The Johnston,1012 Arthur Stiles Rd,Austin,78721,Public,227901,Austin ISD,227,Travis County,13,Austin,0.896,0.914,0.882,1,0.273,,,,1,0.898,0.881,0.947,POINT (-97.681004 30.257085)
01/2017,12/2017,2017,No,227904003,John B Connally H S,13212 N Lamar Blvd,Austin,78753,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.893,0.95,0.918,0.982,0.95,0.917,,1,1,0.95,0.967,0.935,POINT (-97.675682 30.417542)
01/2019,12/2019,2019,No,227901017,Akins H S,10701 S 1st St,Austin,78748,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,0.964,0.959,1,0.966,1,,1,0.941,0.957,0.964,0.964,POINT (-97.802163 30.150678)
01/2018,12/2018,2018,No,227913001,Lake Travis H S,3324 Ranch Rd 620 S,Austin,78738,Public,227913,Lake Travis ISD,227,Travis County,13,Austin,0.895,0.947,0.857,0.95,0.941,0.964,1,,0.949,0.961,0.967,0.93,POINT (-97.966855 30.33034)
01/2016,12/2016,2016,No,227901035,Leadership Academy,2515 S Congress Ave,Austin,78704,Public,227901,Austin ISD,227,Travis County,13,Austin,0.896,0,,,0.61,0,,,,0,,0,POINT (-97.755112 30.236976)
01/2018,12/2018,2018,No,227907004,Manor New Technology High,10323 US-290,Manor,78653,Public,227907,Manor ISD,227,Travis County,13,Austin,0.895,0.979,1,1,0.957,1,,,1,0.958,1,0.96,
01/2016,12/2016,2016,No,227901004,Lanier H S,1201 Payton Gin Rd,Austin,78758,Public,227901,Austin ISD,227,Travis County,13,Austin,0.896,0.927,0.968,0.667,0.932,0.667,1,,0.875,0.94,0.949,0.906,POINT (-97.708443 30.361618)
01/2017,12/2017,2017,No,227907002,Manor Excel Academy,600 E Parsons St,Manor,78653,Public,227907,Manor ISD,227,Travis County,13,Austin,0.893,0.49,0.769,,0.429,,,,0.25,0.465,0.636,0.37,POINT (-97.551086 30.341783)
01/2016,12/2016,2016,No,227907004,Manor New Technology High,10323 US-290,Manor,78653,Public,227907,Manor ISD,227,Travis County,13,Austin,0.896,1,1,1,0.92,1,,,1,1,1,1,
